TRAINING MODELS: problem = sslp_15_45

       MAPE:  tr: 0.111, val: 0.111
    New Best Model
  [40] MSE:   tr: 5541.414, val: 5020.254
       MAE:   tr: 40.911, val: 39.684
       MAPE:  tr: 0.093, val: 0.093
    New Best Model
  [50] MSE:   tr: 7102.545, val: 6023.584
       MAE:   tr: 51.281, val: 48.976
       MAPE:  tr: 0.128, val: 0.128
  [60] MSE:   tr: 5407.484, val: 4850.054
       MAE:   tr: 44.306, val: 42.296
       MAPE:  tr: 0.104, val: 0.104
  [70] MSE:   tr: 6150.982, val: 5188.687
       MAE:   tr: 48.533, val: 46.106
       MAPE:  tr: 0.120, val: 0.120
  [80] MSE:   tr: 6317.349, val: 5861.720
       MAE:   tr: 45.858, val: 45.176
       MAPE:  tr: 0.119, val: 0.119
  [90] MSE:   tr: 11116.428, val: 10278.220
       MAE:   tr: 72.938, val: 70.896
       MAPE:  tr: 0.157, val: 0.157
  [100] MSE:   tr: 5707.868, val: 5155.883
       MAE:   tr: 38.249, val: 37.078
       MAPE:  tr: 0.090, val: 0.090
    New Best Model
  [110] MSE:   tr: 5360.423, val: 5124.859
       MAE:   tr: 39.036, val: 38.030
       MAPE:  tr: 0.100, val: 0.100
  [120] MSE:   tr: 5141.129, val: 5624.478
       MAE:   tr: 36.393, val: 36.161
       MAPE:  tr: 0.086, val: 0.086
    New Best Model
  [130] MSE:   tr: 5864.306, val: 4755.692
       MAE:   tr: 40.417, val: 37.885
       MAPE:  tr: 0.104, val: 0.104
  [140] MSE:   tr: 6739.590, val: 6292.710
       MAE:   tr: 56.241, val: 55.201
       MAPE:  tr: 0.145, val: 0.145
  [150] MSE:   tr: 5220.216, val: 5095.288
       MAE:   tr: 41.211, val: 40.805
       MAPE:  tr: 0.102, val: 0.102
  [160] MSE:   tr: 8773.572, val: 8352.566
       MAE:   tr: 55.764, val: 53.429
       MAPE:  tr: 0.151, val: 0.151
  [170] MSE:   tr: 8129.003, val: 7331.352
       MAE:   tr: 55.159, val: 52.300
       MAPE:  tr: 0.149, val: 0.149
  [180] MSE:   tr: 5800.131, val: 5046.030
       MAE:   tr: 45.568, val: 43.840
       MAPE:  tr: 0.116, val: 0.116
  [190] MSE:   tr: 6482.995, val: 6293.947
       MAE:   tr: 47.105, val: 46.190
       MAPE:  tr: 0.121, val: 0.121
